Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2016,,,,0.175,0.015,896,5578,0.041,0.317,0.016,0.666,0.04,0.083,0.137,0.358,0.1,1.059,12.0,0.506,0.264,0.647,0.606,0.822,0.787,0.01,0.377,11.0,0.026,0.19,0.271,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,0.097,0.008,435,4687,0.043,0.228,0.017,0.626,0.038,0.086,0.147,0.394,0.1,0.413,11.7,0.455,0.164,0.636,0.584,0.789,0.806,0.01,0.386,10.7,0.036,0.098,0.397,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,0.075,0.006,308,4268,0.039,0.162,0.024,0.501,0.048,0.085,0.187,0.472,0.1,0.641,11.7,0.403,0.154,0.51,0.457,0.61,0.836,0.011,0.501,10.7,0.033,0.077,0.143,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,0.048,0.004,187,3964,0.03,0.232,0.037,0.462,0.059,0.088,0.198,0.594,0.1,-0.139,11.4,0.305,0.117,0.509,0.442,0.586,0.869,0.016,0.493,10.4,0.02,0.047,0.029,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,0.059,0.004,218,3785,0.033,0.112,0.027,0.611,0.077,0.074,0.195,0.572,0.1,-0.757,13.5,0.322,0.133,0.45,0.379,0.612,0.734,0.01,0.534,12.5,0.018,0.062,0.076,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,0.288,0.019,898,3564,0.036,0.205,0.028,0.496,0.099,0.069,0.197,0.315,0.1,0.522,14.4,0.512,0.473,0.399,0.351,0.716,0.557,0.01,0.604,13.4,0.001,0.333,0.199,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,0.248,0.017,590,2674,0.029,0.325,0.023,0.505,0.073,0.062,0.177,0.336,0.1,0.219,16.0,0.501,0.439,0.396,0.352,0.657,0.603,0.008,0.607,15.0,0.006,0.282,0.257,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,0.263,0.022,484,2086,0.036,0.362,0.025,0.489,0.066,0.079,0.174,0.302,0.1,0.437,12.6,0.527,0.434,0.498,0.455,0.675,0.737,0.011,0.529,11.6,0.009,0.302,0.598,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,0.024,336,1602,0.038,0.439,,,,0.095,0.214,0.29,0.1,1.318,10.5,0.52,0.377,0.482,0.446,0.665,0.725,,0.562,9.5,0.012,0.574,0.286,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,0.018,145,1017,0.034,0.238,,,,0.09,0.174,0.35,0.1,0.987,11.1,0.467,0.42,0.54,0.518,0.837,0.645,,0.5,10.1,0.005,1.028,1.356,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,0.018,73,501,0.034,0.252,,,,0.102,0.203,0.367,0.1,0.246,9.8,0.456,0.42,0.529,0.502,0.909,0.582,,0.513,8.8,0.004,0.745,0.643,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,0.022,58,287,0.041,0.203,,,,0.095,0.191,0.351,0.1,1.669,10.6,0.468,0.468,0.519,0.496,0.854,0.608,,0.526,9.6,0.022,0.96,0.527,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,0.012,21,146,0.031,0.195,,,,0.067,0.149,0.408,0.1,1.537,14.9,0.427,0.351,0.522,0.452,0.753,0.693,,0.48,13.9,0.004,1.466,0.509,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,0.006,8,59,0.026,0.222,,,,0.038,0.091,0.369,0.0,4.698,26.4,0.456,0.213,0.505,0.417,0.877,0.576,,0.605,25.4,0.001,0.595,0.211,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28.6,7.5,0.007,0.287,0.119,5340,20253,,,,,,0.414,,,1.0,0.215,2.4,,,,,,,,,1.0,,0.193,,FPT,13.4,52.0,16.0,33.0,19.0,1.3,1.3,9517.0,0.377,0.167,0.125,0.4,0.2,1.1,28.8,10700.0,0.261,0.057,35.0,7.1,-0.221,0.9,0.7,0.167,1.1,0.049
